Nazwa,Kategoria
EUR1046,obligacje
IDS1022,obligacje
IDS1024,obligacje
IWS0645,obligacje
IZ0823,obligacje
OK0521,obligacje
OK0720,obligacje
OK0722,obligacje
PS0123,obligacje
PS0420,obligacje
PS0421,obligacje
PS0422,obligacje
PS0424,obligacje
PS0721,obligacje
PS1024,obligacje
WS0428,obligacje
WS0429,obligacje
WS0437,obligacje
WS0447,obligacje
WS0922,obligacje
WZ0120,obligacje
WZ0121,obligacje
WZ0124,obligacje
WZ0126,obligacje
WZ0524,obligacje
WZ0525,obligacje
WZ0528,obligacje
WZ1122,obligacje
WZ1129,obligacje
EUR0225,obligacje
GAMEOPS,akcje
FPC0427,obligacje
DS1030,obligacje
PS0425,obligacje
PUNKPIRAT,akcje
FPC0630,obligacje
FPC0725,obligacje
AIGAMES,akcje
EUR0723,obligacje
FPC0733,obligacje
GAMFACTOR,akcje
OK0423,obligacje
NOVAVISGR,akcje
ALLEGRO,akcje
WZ1126,obligacje
NEXITY,akcje
FPC1140,obligacje
WIGTECHTR,indeksy
WZ1131,obligacje
PURE,akcje
PCFGROUP,akcje
MEDINICE,akcje
WIG.MS-ECM,indeksy
PHOTON,akcje
ANSWEAR,akcje
3RGAMES,akcje
PGFGROUP,akcje
K2HOLDING,akcje
HUUUGE-S144,akcje
PS1026,obligacje
FPC0328,obligacje
DADELO,akcje
GENOMTEC,akcje
INNOVATOR,indeksy
CREEPYJAR,akcje
CAPTORTX,akcje
DRAGOENT,akcje
SATIS,akcje
VERCOM,akcje
BRAND24,akcje
FPC0631,obligacje
PEPCO,akcje
DS0432,obligacje
IMPERIO,akcje
SHOPER,akcje
ONDE,akcje
CAVATINA,akcje
ALTUS,akcje
OK0724,obligacje
MANYDEV,akcje
WOODPCKR,akcje
URTESTE,akcje
GIGROUP,akcje
POLTREG,akcje
BIGCHEESE,akcje
GRUPRACUJ,akcje
STSHOLDING,akcje
GREENX,akcje
BIOPLANET,akcje
RENDER,akcje
PS0527,obligacje
COMPREMUM,akcje
BIOMAXIMA,akcje
HUUUGE,akcje
WZ1127,obligacje
SPYROSOFT,akcje
WIG-GRY,indeksy
WIG.GAMES5,indeksy
MOLECURE,akcje
NOCTILUCA,akcje
DIGITANET,akcje
EUR0532,obligacje
CREOTECH,akcje
SIMFABRIC,akcje
LESS,akcje
BIOCELTIX,akcje
CASPAR,akcje
NTCAPITAL,akcje
WZ0533,obligacje
VIGOPHOTN,akcje
PJPMAKRUM,akcje
PS0728,obligacje
TENDERHUT,akcje
UNFOLD,akcje
CLOUD,akcje
DS1033,obligacje
OK1025,obligacje
EUR0233,obligacje
EUR0243,obligacje
FPC0342,obligacje
WZ1128,obligacje
RAEN,akcje
ONESANO,akcje
GRENEVIA,akcje
SNTVERSE,akcje
CYBERFLKS,akcje
FABRITY,akcje
WIG20TRLEV,indeksy
WIG20TRSHT,indeksy
TEXT,akcje
CAPITEA,akcje
FWA1125,obligacje
EUR1130,obligacje
MURAPOL,akcje
YARRL,akcje
OK0426,obligacje
EUR0134,obligacje
EUR0144,obligacje
DMGROUP,akcje
MWIG40TRLV,indeksy
MWIG40TRSH,indeksy
PS0729,obligacje
GPWB-CENTR,indeksy
DS1034,obligacje
WIGIND,indeksy
WIGMED,indeksy
IZ0836,obligacje
JRH,akcje
WZ0330,obligacje
OK0127,obligacje
EQUNICO,akcje
ZABKA,akcje
PS0130,obligacje
EUR1031,obligacje
EUR1039,obligacje
IZ0831,obligacje
EUR0130,obligacje
EUR0135,obligacje
WIGDIVPLUS,indeksy
FPC0229,obligacje
FPC0231,obligacje
FPC0235,obligacje
DIAG,akcje
FPC0332,obligacje
CPIEUROPE,akcje
